     model0  LH0             model1  LH1             model2  LH2             model3  LH3             model4  LH4             model5  LH5             model6  LH6             model7  LH7             model8  LH8             model9  LH9            model10  LH10           model11  LH11           model12  LH12           model13  LH13           model14  LH14           model15  LH15           model16  LH16           model17  LH17           model18  LH18           model19  LH19           overallLH
     RTREVF  -831.779063        LGF -1030.888188  BLOSUM62F -3154.828912        LGF  -617.337506     CPREVF -1257.003864        VTF -2653.996709      HIVBF -3714.499676     MTREVF -1940.804960       PMBF -1207.548701       PMBF -3541.002157     MTREVF -2241.415728        VTF  -785.014972      HIVBF -6290.198645       WAGF -1560.767044     CPREVF -1757.681547      HIVWF -4044.165483  BLOSUM62F -2579.184392       JTTF -1479.719759     MTARTF -1197.877539     CPREVF  -830.005761   -42715.720605
     MTREVF  -848.596245   DAYHOFFF -1051.487092       FLUF -3159.579073     MTZOAF  -615.824312   DAYHOFFF -1264.000621     RTREVF -2669.971356     MTMAMF -3901.230328     MTARTF -1988.534525   DAYHOFFF -1183.885151     MTREVF -3570.296550     MTREVF -2232.346488  JTTDCMUTF  -789.182317       FLUF -6186.975990       WAGF -1579.085605     MTARTF -1767.923744     RTREVF -3915.914396  JTTDCMUTF -2545.318381     MTMAMF -1527.409524      HIVWF -1246.215462   DAYHOFFF  -837.160779   -42880.937942
     MTZOAF  -836.608772        LGF -1039.813001   DAYHOFFF -3157.572508     DCMUTF  -625.756226        LGF -1249.138641     MTZOAF -2649.110609   DAYHOFFF -3584.401936     MTARTF -2006.634301       WAGF -1202.864968     RTREVF -3486.841286     MTREVF -2230.152493        LGF  -776.679501       FLUF -6219.718778      HIVWF -1656.361827     MTREVF -1751.549919     CPREVF -3975.194171        LGF -2520.674079     MTMAMF -1528.504290  BLOSUM62F -1222.647619     MTMAMF  -847.235263   -42567.460188
  JTTDCMUTF  -838.906399     MTMAMF -1063.034994     DCMUTF -3150.058103      HIVWF  -628.449785     CPREVF -1253.902529  BLOSUM62F -2671.563332      HIVWF -3840.144102     MTMAMF -2139.859316        LGF -1189.127736     CPREVF -3520.532664        VTF -2191.630902       JTTF  -779.227418        VTF -6036.651508     RTREVF -1542.751600       WAGF -1746.353189  JTTDCMUTF -3887.454821       JTTF -2521.711361       WAGF -1487.418608      HIVWF -1237.403576   DAYHOFFF  -826.966058   -42553.148000
     CPREVF  -838.016769     MTARTF -1046.318812     RTREVF -3125.946258     DCMUTF  -620.623206     DCMUTF -1248.692509      HIVBF -2709.261818     RTREVF -3570.616990       PMBF -1835.972306     MTREVF -1199.799601     DCMUTF -3482.051621     CPREVF -2214.764914     MTARTF  -782.243716       WAGF -6000.666522     RTREVF -1545.119948        LGF -1732.926951     MTARTF -3879.263696        LGF -2515.320650     MTARTF -1502.482847       JTTF -1183.452527       JTTF  -827.277815   -41860.819474
  JTTDCMUTF  -839.515361   DAYHOFFF -1038.030560       WAGF -3120.785284      HIVWF  -627.770945      HIVWF -1285.126415  JTTDCMUTF -2633.289876       JTTF -3556.454364     MTZOAF -1977.579029        LGF -1188.229930       WAGF -3488.828070     CPREVF -2215.133371   DAYHOFFF  -785.153443     CPREVF -6075.156001       JTTF -1547.897477       FLUF -1762.824688       JTTF -3886.905181   DAYHOFFF -2527.624188      HIVWF -1558.156947      HIVBF -1197.060555  JTTDCMUTF  -825.655149   -42137.176835
      HIVWF  -883.442194        LGF -1030.886190      HIVWF -3303.086436       PMBF  -628.909555        LGF -1240.294011       JTTF -2640.370476       FLUF -3698.224027     CPREVF -1863.269799  JTTDCMUTF -1193.156405        VTF -3515.741626     RTREVF -2190.119410       WAGF  -783.030676     MTREVF -6239.966837     MTREVF -1581.563536      HIVBF -1764.268931   DAYHOFFF -3920.781017       WAGF -2546.719409  BLOSUM62F -1498.572369        LGF -1174.397337       JTTF  -828.561801   -42525.362042
   DAYHOFFF  -830.727233       PMBF -1024.853054  BLOSUM62F -3144.407780       WAGF  -620.971355     DCMUTF -1241.732837        LGF -2629.949649       JTTF -3564.463837  JTTDCMUTF -1876.258838      HIVBF -1228.956546  BLOSUM62F -3539.678601       PMBF -2199.395558      HIVWF  -794.024524       PMBF -6085.164494     MTARTF -1581.865463  BLOSUM62F -1758.126531     DCMUTF -3893.436281       WAGF -2536.548450       WAGF -1482.378964     DCMUTF -1173.404527      HIVWF  -860.521618   -42066.866139
     DCMUTF  -834.844131       JTTF -1028.592443        LGF -3109.014842       FLUF  -615.144674     MTREVF -1232.915693  BLOSUM62F -2673.838890     MTZOAF -3692.648528        LGF -1875.816664  BLOSUM62F -1210.482098     MTZOAF -3573.402864       PMBF -2207.215605   DAYHOFFF  -787.813628       PMBF -6057.913400      HIVWF -1652.840857      HIVWF -1805.009829   DAYHOFFF -3910.451872  BLOSUM62F -2577.986916  BLOSUM62F -1496.365375       JTTF -1183.070056     MTMAMF  -852.255573   -42377.623937
       PMBF  -846.565342     MTMAMF -1066.546198       WAGF -3124.581990     RTREVF  -616.615223     CPREVF -1260.503496      HIVWF -2774.567136        LGF -3559.944496  BLOSUM62F -1840.274134     MTZOAF -1180.969156      HIVWF -3731.001438      HIVBF -2245.858005     MTARTF  -782.703880        LGF -6035.510968      HIVBF -1592.615453     MTZOAF -1746.603829  BLOSUM62F -3955.242226  BLOSUM62F -2580.229590     MTREVF -1486.375725       WAGF -1192.383636     CPREVF  -831.190352   -42450.282272
